path	source_type	commit_or_sha	remote
custom_nodes/ComfyLiterals	git	bdddb08	https://github.com/M1kep/ComfyLiterals
custom_nodes/ComfyUI-GGUF	snapshot	-	-
custom_nodes/ComfyUI-SaveAsScript	git	bf5cccf	https://github.com/atmaranto/ComfyUI-SaveAsScript
custom_nodes/cache-cleaner	snapshot	-	-
custom_nodes/comfyui-frame-interpolation	snapshot	-	-
custom_nodes/comfyui-impact-pack	snapshot	-	-
custom_nodes/comfyui-impact-subpack	snapshot	-	-
custom_nodes/comfyui-kjnodes	snapshot	-	-
custom_nodes/comfyui-manager	git	14ef4489	https://github.com/ltdrdata/ComfyUI-Manager
custom_nodes/comfyui-videohelpersuite	snapshot	-	-
custom_nodes/comfyui_memory_cleanup	snapshot	-	-
